,coords,content
0,"[[137, 199], [357, 199], [357, 235], [137, 235]]",1. Introduction
1,"[[995, 221], [1017, 221], [1017, 235], [995, 235]]",Loc
2,"[[1069, 221], [1117, 221], [1117, 235], [1069, 235]]",FaceDet
3,"[[1255, 221], [1293, 221], [1293, 235], [1255, 235]]",Select
4,"[[1347, 221], [1391, 221], [1391, 235], [1347, 235]]",Classify
5,"[[1445, 221], [1469, 221], [1469, 235], [1445, 235]]",Vqa
6,"[[865, 222], [955, 222], [955, 257], [865, 257]]",ImaBe Understanding
7,"[[981, 243], [1029, 243], [1029, 255], [981, 255]]",Oll -ViT
8,"[[1057, 243], [1127, 243], [1127, 257], [1057, 257]]",DSFD (Oypi)
9,"[[1150, 244], [1212, 244], [1212, 252], [1150, 252]]",1751FNNR |
10,"[[1247, 243], [1301, 243], [1301, 255], [1247, 255]]",CLIP-ViT
11,"[[1343, 243], [1395, 243], [1395, 255], [1343, 255]]",CLIP-ViT
12,"[[1443, 243], [1471, 243], [1471, 255], [1443, 255]]",VfLT
13,"[[131, 255], [801, 255], [801, 1990], [131, 1990]]","The pursuit of general purpose AI systems has lead to the development of capable end-to-end trainable models [1,5,8,13,19,25,27], many Of which aspire to provide simple natural language interface for a user to interact with the model。 The predominant approach to building these systems has been massive-scale unsupervised pretraining followed by supervised multitask training: However; this approach requires a well curated dataset for each task that makes i challenging to scale to the infinitely long tail Of complex tasks We would eventually like these systems to perform. I this work, we explore the use oflarge language models to tackle the long tail of complex tasks by decom- posing these tasks described i natural language into sim- pler steps that may be handled by specialized end-to-end trained models or other programs。 Imagine instructing 8 Vision system tO Tag the 7 main characters on the TV show Big Bang Theory in this image. To perform this task。 the system first needs to understand the intent Of the instruction and then perform sequence Of steps detect the faces, retrieve list Of main characters OI Big Bang Theory from knowledge base, classify faces using the list Of characters, and tag the image with recog- nized character s faces and names。 While different Vision and language systems exist to perform each of these steps, executing this task described in natural language is beyond the scope Of end-to-end trained systems。 We introduce VISPROG Which inputs visual data (a sin- gle image Or a set of images) along with a natural language instruction, generates sequence Of steps, visual pro- gram 让 you will, and then executes these steps tO produce the desired output。 Each line 证 a Visual Program invokes OnC among a Wide range Of modules currently supported by the system。 Modules may be Off-the-shelf computer vi- sion models, language models, image processing subrou- tines i OpenCV [4],or arithmetic and logical operators Modules consume inputs that are produced by executing Previous lines of code and output intermediate results that Can be consumed downstream. In the example above, the visual program generated by VISPROG invokes a face de- tector 18],GPT-3 [5] as a knowledge retrieval system, and CLIP [23] as an open-vocabulary image classifier to Pro- duce the desired output (see Fig. 1. VISPROG improves upon previous methods for gener ating and executing programs for vision applications。 For the Visual question answering (VQA) task; Neural Module Networks (NMN) [2,9,10,12] compose question-specific, Cnd-to-end trainable network from specialized; differen- tiable Ieural modules。 These approaches either use brittle, Off-the-shelf semantic parsers to deterministically compute the layout Of modules, or leam layout generator through Weak anSWeI supervision via REINFORCE [33] In COI- trast, VISPROG uses powerful language model (GPT-3)"
14,"[[987, 297], [1033, 297], [1033, 311], [987, 311]]",Replace
15,"[[1065, 294], [1149, 294], [1149, 347], [1065, 347]]","Colorpop PIL ,convert() CVZ SrabCut()"
16,"[[1207, 295], [1247, 295], [1247, 311], [1207, 311]]",BBBlur
17,"[[1437, 295], [1471, 295], [1471, 311], [1437, 311]]",Emoji
18,"[[990, 320], [1028, 320], [1028, 328], [990, 328]]",St3h1e
19,"[[1169, 319], [1281, 319], [1281, 347], [1169, 347]]",PIL .GaU5sianllur( ) Cv2 BrabCut()
20,"[[1301, 321], [1395, 321], [1395, 347], [1301, 347]]",PIL .rectangle() tett()
21,"[[1415, 321], [1491, 321], [1491, 335], [1415, 335]]",AUBLY (Dypi)
22,"[[889, 337], [929, 337], [929, 351], [889, 351]]",Image
